Student_ID,Gender,Study_hours,Attendance,Marks,Internet_access,Family Background
1001,Female,4.5,92,85,Yes,High Income 
1002,Male,1.5,65,38,No,Low Income 
1003,Female,2,78,55,Yes,Middle Income 
1004,Male,3.5,88,72,Yes,Middle Income 
1005,Female,0.5,45,28,No,Low Income 
1006,Male,5,95,90,Yes,High Income 
1007,Female,2.5,80,60,Yes, Middle Income 
1008,Male,1,55,35,No,Low Income 
1009,Female,4,90,82,Yes,Middle Income 
1010,Male,0.8,50,30,No,Low Income 
1011,Female,3,85,68,Yes,Middle Income 
1012,Male,4.2,89,78,Yes,High Income 
1013,Female,1.2,60,42,No,Low Income 
1014,Male,2.8,75,58,Yes,Middle Income 
1015,Female,5.5,98,95,Yes,High Income 
1016,Male,1.8,70,48,No,Low Income 
1017,Female,3.8,87,75,Yes,Middle Income 
1018,Male,2.2,72,52,Yes,Low Income 
1019,Female,4.8,94,88,Yes,High Income 
1020,Male,0.5,40,22,No,Low Income 
1021,Female,3.2,82,65,Yes,Middle Income 
1022,Male,1.5,58,39,No,Low Income 
1023,Female,4.1,91,80,Yes,High Income 
1024,Male,2.9,79,62,Yes,Middle Income 
1025,Female,0.9,48,31,No,Low Income 
1026,Male,3.6,86,70,Yes,Middle Income 
1027,Female,5.2,96,92,Yes,High Income 
1028,Male,1.1,52,36,No,Low Income 
1029,Female,2.6,76,57,Yes,Middle Income 
1030,Male,4.6,93,86,Yes,High Income
